,company,title,location,seniority,category,salary,salary_period
968,TECHNOPALS PTE. LTD.,Qlikview Developer,Central,Fresh/entry level ...,Accounting / Auditing / Taxation,"$5,000to$7,500",Monthly
969,NANYANG TECHNOLOGICAL UNIVERSITY,Associate Research Fellow (Indonesia Programme) - RRI,Central,Fresh/entry level ...,Accounting / Auditing / Taxation,"$2,500to$4,000",Monthly
970,CHARTERHOUSE PTE. LTD.,Senior Software Developer,North,Professional,Engineering ...,"$6,000to$8,500",Monthly
971,INFOCEPTS PTE. LTD.,Business Intelligence - Senior Program Manager,North,Professional,Engineering ...,"$118,800to$145,200",Annually
972,CONTINENTAL AUTOMOTIVE SINGAPORE PTE. LTD.,"International Mobility, Systems Manager","North, West",Executive,Sciences / Laboratory / R&D,"$8,000to$15,000",Monthly
973,CHARTERHOUSE PTE. LTD.,Software Consultant,"North, West",Executive,Sciences / Laboratory / R&D,"$6,000to$9,000",Monthly
974,APPLE SOUTH ASIA PTE. LTD.,HR HelpLine CSR(Customer Service Representative),North,Senior Executive,Engineering ...,"$3,500to$6,000",Monthly
975,PERFORM MEDIA ASIA PTE. LTD.,"Senior Manager, Media Rights",North,Senior Executive,Engineering ...,"$12,000to$13,500",Monthly
976,M&C SAATCHI MOBILE ASIA PACIFIC PTE. LTD.,INTERN,East,Executive,Engineering ...,"$1,000to$1,000",Monthly
977,MINDTECK SINGAPORE PTE LTD,Qlik Sense Administrator (contract),East,Executive,Engineering ...,"$4,000to$6,500",Monthly
978,BUREAU VAN DIJK ELECTRONIC PUBLISHING PTE. LTD.,Corporate Finance Researcher and Translator,Central,Fresh/entry level ...,Customer Service ...,"$3,000to$3,500",Monthly
979,FORTIS CONSTRUCTION PTE. LTD.,Mechanical Coordinator,Central,Fresh/entry level ...,Customer Service ...,"$3,500to$10,000",Monthly
980,MICROSOFT OPERATIONS PTE LTD,Cloud Solution Architect,Islandwide,Fresh/entry level,Banking and Finance ...,"$143,000to$215,000",Annually
981,Housing and Development Board,Estate Manager (Car Parks),Islandwide,Fresh/entry level,Banking and Finance ...,Salary undisclosed,
982,A*STAR RESEARCH ENTITIES,Research Fellow (Dr Ng Lai Guan's Lab),Central,Senior Executive,Human Resources ,"$4,500to$9,000",Monthly
983,99 PTE. LTD.,SEO Specialist,Central,Senior Executive,Human Resources ,"$3,600to$4,800",Monthly
984,IGG SINGAPORE PTE. LTD.,Mathematician Game Designer,Central,Professional,Information Technology,"$3,000to$6,000",Monthly
985,SPE NETWORKS - ASIA PTE. LTD.,Senior Splunk Engineer,Central,Professional,Information Technology,"$5,000to$8,000",Monthly
986,A*STAR RESEARCH ENTITIES,Senior Research Engineer (I3),Central,Executive ...,Engineering,"$3,400to$6,800",Monthly
987,Singapore Sports Council,"Manager, Resourcing",Central,Executive ...,Engineering,Salary undisclosed,
988,FORTIS CONSTRUCTION PTE. LTD.,Architectural Coordinator,North,Fresh/entry level ...,Admin / Secretarial,"$3,500to$10,000",Monthly
989,EMSON SYSTEMS (S) PTE. LTD.,Software Engineer - Java,North,Fresh/entry level ...,Admin / Secretarial,"$3,500to$5,300",Monthly
990,FORTIS CONSTRUCTION PTE. LTD.,Structural Coordinator,North,Professional,Admin / Secretarial,"$3,500to$10,000",Monthly
991,KMS LINES (SINGAPORE) PTE. LTD.,Office Coordinator,North,Professional,Admin / Secretarial,"$1,600to$2,000",Monthly
992,KANTAR SINGAPORE PTE. LTD.,Medical Writer,Central,Junior Executive,Building and Construction,"$5,500to$6,500",Monthly
993,OPTIMA WERKZ PTE. LTD.,Motor Claims Admin,Central,Junior Executive,Building and Construction,"$2,200to$2,500",Monthly
994,THE SUPREME HR ADVISORY PTE. LTD.,Shipping Coordinator  /  /  5 Days  /  /  Tanjong Pagar Road  /  /  2200-2700  /  /  Import & Export,North,Fresh/entry level,Information Technology,"$2,200to$2,700",Monthly
995,THE SUPREME HR ADVISORY PTE. LTD.,Material Assistant  /  /  Carry Stock  /  /  1800  /  /  Bedok MRT  /  /  5 Days  /  /  Warehouse  /  /  Purchasing,North,Fresh/entry level,Information Technology,"$1,800to$2,200",Monthly
996,MACHSPEED HUMAN RESOURCES PTE. LTD.,"Accounts  Officer (3-6 months contract, Science Park, $2500-2800)","North, Central",Senior Executive,Information Technology,"$2,500to$2,800",Monthly
997,MACHSPEED HUMAN RESOURCES PTE. LTD.,"Production Planner (5 days, Clementi,  $1800-2000)","North, Central",Senior Executive,Information Technology,"$1,800to$2,000",Monthly
998,ERNST & YOUNG ADVISORY PTE. LTD.,"Cybersecurity Manager, Advisory, Singapore",East,Fresh/entry level,Admin / Secretarial ...,"$6,000to$12,000",Monthly
999,ERNST & YOUNG ADVISORY PTE. LTD.,"Cybersecurity Senior Associate, Advisory, Singapore",East,Fresh/entry level,Admin / Secretarial ...,"$4,100to$8,200",Monthly
1000,ERNST & YOUNG ADVISORY PTE. LTD.,"Cybersecurity Associate, Advisory, Singapore",Central,Professional,Building and Construction ...,"$3,000to$6,000",Monthly
1001,ERNST & YOUNG ADVISORY PTE. LTD.,"Information Security Consultant (Pentesting), Advisory, Singapore",Central,Professional,Building and Construction ...,"$4,100to$8,200",Monthly
1002,ERNST & YOUNG ADVISORY PTE. LTD.,"Information Security Associate (Pentesting), Advisory, Singapore",South,Professional,Marketing / Public Relations ,"$3,000to$6,000",Monthly
1003,SMITECH ENGINEERING PTE LTD,Accounting Executive,South,Professional,Marketing / Public Relations ,"$3,500to$4,500",Monthly
1004,BANK OF BARODA,Trade Finance Officer,Central,Manager,Environment / Health  ,"$6,500to$7,500",Monthly
